_id,account_dot_uuid,amount,balance,dateObj,type,label,merchant_dot_uuid
67b864555333388c1dc83223,7361d008-82de-4026-8908-aa5d5102ee56,530,287,2025-12-31T12:00:00.000Z,DEBIT,gambling,mrc_PBEa5KrDCGRCYbENEe26Qw
67b864555333388c1dc83222,7361d008-82de-4026-8908-aa5d5102ee56,286.17,817,2025-12-31T12:00:00.000Z,DEBIT,other_discretionary,mrc_aDbeQAWxpZnA3y2D8PDrNn
67b864555333388c1dc83221,7361d008-82de-4026-8908-aa5d5102ee56,20,1103.17,2025-12-31T12:00:00.000Z,DEBIT,gambling,mrc_PBEa5KrDCGRCYbENEe26Qw
67b864555333388c1dc83220,7361d008-82de-4026-8908-aa5d5102ee56,134,1123.17,2025-12-31T12:00:00.000Z,DEBIT,gambling,mrc_PBEa5KrDCGRCYbENEe26Qw
67b864555333388c1dc8321f,7361d008-82de-4026-8908-aa5d5102ee56,300,1257.17,2025-12-31T12:00:00.000Z,DEBIT,gambling,mrc_PBEa5KrDCGRCYbENEe26Qw
67b864555333388c1dc8321e,7361d008-82de-4026-8908-aa5d5102ee56,530,1557.17,2025-12-31T12:00:00.000Z,CREDIT,other_transfer,mrc_WACRto3tvCyrQJARA68Wzb
67b864555333388c1dc8321d,7361d008-82de-4026-8908-aa5d5102ee56,286.17,1027.17,2025-12-31T12:00:00.000Z,CREDIT,other_discretionary,mrc_aDbeQAWxpZnA3y2D8PDrNn
67b864555333388c1dc8321c,7361d008-82de-4026-8908-aa5d5102ee56,79,741,2025-12-31T12:00:00.000Z,CREDIT,other_transfer,mrc_WACRto3tvCyrQJARA68Wzb
67b864555333388c1dc83213,7361d008-82de-4026-8908-aa5d5102ee56,1949,3139.57,2025-12-30T12:00:00.000Z,CREDIT,gambling,mrc_PBEa5KrDCGRCYbENEe26Qw
67b864555333388c1dc8320d,7361d008-82de-4026-8908-aa5d5102ee56,250,264.57,2025-12-30T12:00:00.000Z,CREDIT,other_transfer,mrc_WACRto3tvCyrQJARA68Wzb
67b864555333388c1dc8320e,7361d008-82de-4026-8908-aa5d5102ee56,8,272.57,2025-12-30T12:00:00.000Z,CREDIT,other_transfer,
67b864555333388c1dc8320f,7361d008-82de-4026-8908-aa5d5102ee56,612,884.57,2025-12-30T12:00:00.000Z,CREDIT,other_transfer,mrc_WACRto3tvCyrQJARA68Wzb
67b864555333388c1dc83210,7361d008-82de-4026-8908-aa5d5102ee56,20,904.57,2025-12-30T12:00:00.000Z,CREDIT,gambling,mrc_PBEa5KrDCGRCYbENEe26Qw
67b864555333388c1dc83211,7361d008-82de-4026-8908-aa5d5102ee56,6,910.57,2025-12-30T12:00:00.000Z,CREDIT,other_transfer,mrc_WACRto3tvCyrQJARA68Wzb
67b864555333388c1dc83212,7361d008-82de-4026-8908-aa5d5102ee56,280,1190.57,2025-12-30T12:00:00.000Z,CREDIT,other_transfer,mrc_WACRto3tvCyrQJARA68Wzb
67b864555333388c1dc83214,7361d008-82de-4026-8908-aa5d5102ee56,1000,4139.57,2025-12-30T12:00:00.000Z,CREDIT,other_transfer,mrc_WACRto3tvCyrQJARA68Wzb
67b864555333388c1dc83216,7361d008-82de-4026-8908-aa5d5102ee56,30,2210.57,2025-12-30T12:00:00.000Z,DEBIT,other_transfer,
67b864555333388c1dc83217,7361d008-82de-4026-8908-aa5d5102ee56,280,1930.57,2025-12-30T12:00:00.000Z,DEBIT,gambling,mrc_PBEa5KrDCGRCYbENEe26Qw
67b864555333388c1dc83218,7361d008-82de-4026-8908-aa5d5102ee56,244,1686.57,2025-12-30T12:00:00.000Z,DEBIT,gambling,mrc_PBEa5KrDCGRCYbENEe26Qw
67b864555333388c1dc83219,7361d008-82de-4026-8908-aa5d5102ee56,14.57,1672,2025-12-30T12:00:00.000Z,DEBIT,other_transfer,
67b864555333388c1dc8321a,7361d008-82de-4026-8908-aa5d5102ee56,1000,672,2025-12-30T12:00:00.000Z,DEBIT,gambling,mrc_PBEa5KrDCGRCYbENEe26Qw
67b864555333388c1dc8321b,7361d008-82de-4026-8908-aa5d5102ee56,10,662,2025-12-30T12:00:00.000Z,DEBIT,cash_forex_crypto,0a9f6f33-8e37-402f-baae-cb98d28a7f0d
